defName,mod,label,layers,bodyPartGroups,tags,genCommonality,proposedZone,reviewFlag
VME_TackleBox,原版文化拓展-迷因与建筑,tackle box,Belt,Waist,VAEA_Utility_Industrial,,Zone_Accessory,
OARK_Apparel_GravShieldBelt,金鼠族 HSK版本,Obernoia Aurea Vacuum Shield Belt,Belt,Waist,OARatkin_Spaceport_AssaulterArmor|OARatkin_NavigateApparel,,Zone_Accessory,
OA_RK_Component_AA,金鼠族 HSK版本,Oberonia Aurea mineral detector,,,OARatkin_Belt,,Zone_Accessory,
OA_RK_Component_AB,金鼠族 HSK版本,Colony info exchange card,,,OARatkin_Belt,,Zone_Accessory,
OA_RK_Component_AC,金鼠族 HSK版本,Stasis factor recovery device,,,OARatkin_Belt,,Zone_Accessory,
OA_RK_Component_D,金鼠族 HSK版本,ECM device,,,OARatkin_Belt,,Zone_Accessory,
OA_RK_Component_E,金鼠族 HSK版本,Blitz combat smoke launcher,,,OARatkin_Belt,,Zone_Accessory,
OA_RK_Component_F,金鼠族 HSK版本,Oberonia Aurea traveler's Kit,,,OARatkin_Belt,,Zone_Accessory,
OA_RK_EMPBelt,金鼠族 HSK版本,Electromagnetic paralysis drop belt,,,,,Zone_Accessory,继承-已补判
OA_RK_FirstAid,金鼠族 HSK版本,life support first aid kit,,,,,Zone_Accessory,继承-已补判
OA_RK_LifeformDetect,金鼠族 HSK版本,lifeform detecter,,,,,Zone_Accessory,继承-已补判
OA_RK_New_Belt_A,金鼠族 HSK版本,EMP impact waistband,,,OARatkin_TechnicalBelt,,Zone_Accessory,继承-已补判
OA_RK_New_Belt_B,金鼠族 HSK版本,Oberonia Aurea Signal Belt,,,OARatkin_TechnicalBelt,,Zone_Accessory,继承-已补判
OA_RK_New_Component_A,金鼠族 HSK版本,Oberonia Aurea angle ruler,,,OARatkin_IndustrialBelt,,Zone_Accessory,继承-已补判
OA_RK_New_Component_B,金鼠族 HSK版本,Learning assistance facilities,,,OARatkin_Belt,,Zone_Accessory,
OA_RK_New_Component_C,金鼠族 HSK版本,Oberonia Aurea Far Walker Emergency Call Equipment,Belt,Waist,OARatkin_Belt,0,Zone_Accessory,
OA_RK_New_Component_D,金鼠族 HSK版本,Rotor flight tray,,,OARatkin_Belt,,Zone_Accessory,
JD_shield,鼠族HSK拓展,能量力盾,Belt,Torso|Neck|Shoulders|Arms|Legs,RK_HeavyArmor,,Zone_Accessory,
RK_HuanYuPei,鼠族HSK拓展,rim Yu-Pei,,Waist,,,Zone_Accessory,继承-已补判
RK_MedalHonor,鼠族HSK拓展,Ratkin Medal of Honor,Belt,Neck,RK_Ambassador|RK_3Tier|RK_Noble|RK_Worker,,Zone_Accessory,
RK_SA_InfantryUniform,鼠族HSK拓展,Syringa Infantry Uniform,OnSkin,Torso|Neck|Shoulders|Arms|Legs,RK_SA_Soldier,,Zone_Accessory,
RK_Sachet,鼠族HSK拓展,sachet,,Waist,,,Zone_Accessory,继承-已补判
RK_SafetyTether,鼠族HSK拓展,Ratkin Safety Tether,Belt,Hands,,1,Zone_Accessory,
RK_Scarf,鼠族HSK拓展,desert scarf,OuterClothing,Neck,RK_Apparel|RK_1Tier|RK_Thief|RK_Worker,,Zone_Accessory,
yiliaob,鼠族HSK拓展,鼠族医疗包,Belt,Torso,Royal|RoyalTier2|RoyalTier3|RoyalTier4|RoyalTier5|RoyalTier6|RoyalRobe|RK_Worker|RK_Ambassador|RK_Maid|RK_1Tier|RK_Thief,1,Zone_Accessory,
Miho_Apparel_Middle_Militia,美狐HSK拓展,미호 트루퍼 아머,Middle,Torso|Neck|Shoulders,MihoMilitia,,Zone_Armor,
Miho_Apparel_Middle_MilitiaMedic,美狐HSK拓展,미호 메딕 아머,Middle,Torso|Neck|Shoulders,MihoMedic,,Zone_Armor,
Miho_Apparel_Middle_MilitiaVest,美狐HSK拓展,미호 전술조끼,Middle,Torso,MihoMilitia,,Zone_Armor,
Miho_Apparel_Middle_Militia_Tan,美狐HSK拓展,미호 트루퍼 아머 (tan),Middle,Torso|Neck|Shoulders,MihoMilitia,,Zone_Armor,
