defName,label,来源mod,落地方式,techLevel,①穿戴位置,②用途场景,③科技档,旧分类,①依据,②依据
Apparel_AdvancedHelmet,Advanced Helmet,(原版 Data),上游补丁(Core),Industrial,头部,战斗护甲,工业,MediumHelmetsCat,旧分类,护甲值/甲类
Apparel_AirwireHeadset,airwire headset,(原版 Data),上游补丁(Core),Spacer,头部,战斗护甲,太空,HeadgearMechanitor,旧分类,护甲值/甲类
Apparel_Ammobelt,Ammo belt,Core_SK,上游补丁,Industrial,配饰腰背,战术装备,工业,SpecialApparelCat,layer,旧分类
Apparel_ArmorCataphract,cataphract armor,(原版 Data),上游补丁(Core),Spacer,全身连体,战斗护甲,太空,HeavyFullArmorCat,旧分类,护甲值/甲类
Apparel_ArmorCataphractPhoenix,phoenix armor,Core_SK_DLCModule,上游补丁,Spacer,全身连体,战斗护甲,太空,HeavyFullArmorCat,旧分类,护甲值/甲类
Apparel_ArmorCataphractPrestige,prestige cataphract armor,(原版 Data),上游补丁(Core),Spacer,全身连体,战斗护甲,太空,HeavyFullArmorCat,旧分类,护甲值/甲类
Apparel_ArmorHelmetCataphract,cataphract helmet,(原版 Data),上游补丁(Core),Spacer,头部,战斗护甲,太空,HeavyHelmetsCat,旧分类,护甲值/甲类
Apparel_ArmorHelmetCataphractPrestige,prestige cataphract helmet,(原版 Data),上游补丁(Core),Spacer,头部,战斗护甲,太空,HeavyHelmetsCat,旧分类,护甲值/甲类
Apparel_ArmorHelmetMechCommander,mechcommander helmet,(原版 Data),上游补丁(Core),Spacer,头部,战斗护甲,太空,HeadgearMechanitor|MediumHelmetsCat,旧分类,护甲值/甲类
Apparel_ArmorHelmetMechlordHelmet,mechlord helmet,(原版 Data),上游补丁(Core),Spacer,头部,战斗护甲,太空,HeadgearMechanitor|MediumHelmetsCat,旧分类,护甲值/甲类
Apparel_ArmorHelmetRecon,recon helmet,(原版 Data),上游补丁(Core),Spacer,头部,战斗护甲,太空,LightHelmetsCat,旧分类,护甲值/甲类
Apparel_ArmorHelmetReconPrestige,prestige recon helmet,Core_SK_DLCModule,上游补丁,Spacer,头部,战斗护甲,太空,LightHelmetsCat,旧分类,护甲值/甲类
Apparel_ArmorLocust,locust armor,Core_SK_DLCModule,上游补丁,Spacer,全身连体,战斗护甲,太空,HeavyFullArmorCat,旧分类,护甲值/甲类
Apparel_ArmorMarineGrenadier,grenadier armor,Core_SK_DLCModule,上游补丁,Spacer,全身连体,战斗护甲,太空,HeavyFullArmorCat|Setpowerarmor,旧分类,护甲值/甲类
Apparel_ArmorMarineHelmetPrestige,Prestige marine helmet,Core_SK_DLCModule,上游补丁,Spacer,头部,战斗护甲,太空,HeavyHelmetsCat|Setpowerarmor,旧分类,护甲值/甲类
Apparel_ArmorMarinePrestige,prestige marine armor,Core_SK_DLCModule,上游补丁,Spacer,全身连体,战斗护甲,太空,HeavyFullArmorCat|Setpowerarmor,旧分类,护甲值/甲类
