旧分类defName,旧label,旧深度,件数,新归属轴,处置,复用角色
AccessoriesCat,Accessories,1,9,P9 配饰腰背,降级为 P9 的子分类,★复用为 ①面饰眼部
ApparelArmor,armor,1,1,P2 躯干外衣,降级为 P2 的子分类,★复用为 ②战斗护甲(原版)
ArmorHeadgear,headgear,2,2,P7 头部,降级为 P7 的子分类,保留为三级子分类
RK_ArmorHeadgear,ratkin armor headgear,3,1,(拆散),"种族桶 -> 成员改挂三轴, 本 def 停用/隐藏",种族桶→拆散停用
RK_ApparelArmor,ratkin armor,2,2,(拆散),"种族桶 -> 成员改挂三轴, 本 def 停用/隐藏",种族桶→拆散停用
ApparelMisc,misc,1,4,?,需人工定档,★复用为 ①配饰腰背(原版)
ApparelNoble,Noble Apparel,1,10,?,需人工定档,★复用为 ②礼仪贵族(原版)
RK_ApparelNoble,ratkin noble apparel,2,1,(拆散),"种族桶 -> 成员改挂三轴, 本 def 停用/隐藏",种族桶→拆散停用
ApparelUtility,utility,1,20,?,需人工定档,★复用为 ②战术装备(原版)
RK_ThingCategory_Util,ratkin utility,2,2,(拆散),"种族桶 -> 成员改挂三轴, 本 def 停用/隐藏",种族桶→拆散停用
BaseLayerCat,Base Layer,1,4,P1 贴身内衣,降级为 P1 的子分类,★复用为 ①贴身内衣
BodySuitsCat,Bodysuit,1,16,P3 全身连体,降级为 P3 的子分类,降为 ①躯干外衣 子分类
BootsCat,Boots,1,16,P5 鞋靴,降级为 P5 的子分类,★复用为 ①鞋靴
CombinedArmorCat,Combined Layer,1,8,P2 躯干外衣,降级为 P2 的子分类,空壳/层分类→并入新节点
FullArmorCat,Full Armor,1,2,P3 全身连体,降级为 P3 的子分类,降为 ②战斗护甲 子分类
HeavyFullArmorCat,Heavy Armor,2,13,P3 全身连体,降级为 P3 的子分类,保留为三级子分类
LightFullArmorCat,Light Armor,2,10,P3 全身连体,降级为 P3 的子分类,保留为三级子分类
MediumFullArmorCat,Medium Armor,2,3,P3 全身连体,降级为 P3 的子分类,保留为三级子分类
FullBodySuitsCat,Full Bodysuit,1,12,P3 全身连体,降级为 P3 的子分类,★复用为 ①全身连体
GlovesCat,Gloves,1,18,P6 手套,降级为 P6 的子分类,★复用为 ①手套
Hazmat,hazmat,1,0,P3 全身连体,降级为 P3 的子分类,空壳/层分类→并入新节点
Mopp,mopp,2,0,P3 全身连体,降级为 P3 的子分类,空壳/层分类→并入新节点
Headgear,headgear,1,6,P7 头部,降级为 P7 的子分类,★复用为 ①头部(原版)
AnimalHeaddressCat,Primitive,2,16,P7 头部,降级为 P7 的子分类,保留为三级子分类
GasMasksCat,Gasmasks,2,8,P8 面饰眼部,降级为 P8 的子分类,降为 ①面饰 子分类
HeaddressCat,Simple,2,39,P7 头部,降级为 P7 的子分类,保留为三级子分类
HeadgearMechanitor,Mechanitor Headgear,2,5,P7 头部,降级为 P7 的子分类,空壳/层分类→并入新节点
