分类,label,父,直接成员,子树成员,XML引用类型,代码硬依赖,处置
Alcohol,Alcohol,Foods,0,16,categories;categoryDef;disallowedCategories,,"保留(被引用: categories,categoryDef,disallowedCategories)"
Alcohol_Bottles,Alcohol,Alcohol,16,16,categories,,保留(被引用: categories)
Alcohol_Crates,Alcohol Crates,Alcohol,0,0,disallowedCategories,,保留(被引用: disallowedCategories)
AnimalProductRaw,Animal Products,FoodRaw,2,64,categories;disallowedCategories,是,"保留(被引用: categories,disallowedCategories)"
Animalfood,Animal Food,Foods,5,5,categories;categoryDef,,"保留(被引用: categories,categoryDef)"
BasicPlantFoodRaw,Basic Food,PlantFoodRaw,10,10,categories,,保留(被引用: categories)
CookingSupplies,Cooking Supplies,Foods,18,18,categories;categoryDef,是,"保留(被引用: categories,categoryDef)"
EggsFertilized,Eggs (Fertilized),AnimalProductRaw,31,31,categories;categoryDef;disallowedCategories,是,"保留(被引用: categories,categoryDef,disallowedCategories)"
EggsUnfertilized,Eggs (Unfertilized),AnimalProductRaw,31,31,categories;categoryDef,是,"保留(被引用: categories,categoryDef)"
Energetics,Drinks,Foods,5,5,categories;categoryDef;disallowedCategories,,"保留(被引用: categories,categoryDef,disallowedCategories)"
ExtraPlantFoodRaw,Extra Food,PlantFoodRaw,4,4,categories,,保留(被引用: categories)
Fish,small fish,MeatRaw,14,14,categories;categoryDef;disallowedCategories,是,"保留(被引用: categories,categoryDef,disallowedCategories)"
FoodFreshFish,Fresh Fish,MeatRaw,0,0,categoryDef,,保留(被引用: categoryDef)
FoodMeals,meals,Foods,79,87,categories;categoryDef;disallowedCategories,,"保留(被引用: categories,categoryDef,disallowedCategories)"
FoodRaw,raw food,Foods,1,120,categories;categoryDef,是,"保留(被引用: categories,categoryDef)"
Foods,foods,Root,1,265,categories;disallowedCategories,是,"保留(被引用: categories,disallowedCategories)"
FruitFoodRaw,Fruits,PlantFoodRaw,13,13,categories,,保留(被引用: categories)
FungusPlantRaw,Fungi,PlantFoodRaw,3,3,categories,,保留(被引用: categories)
LuxuryStuffs,Luxury Stuffs,Foods,4,4,categories;categoryDef,,"保留(被引用: categories,categoryDef)"
MeatRaw,meat,FoodRaw,4,18,categories;categoryDef;disallowedCategories,是,"保留(被引用: categories,categoryDef,disallowedCategories)"
MeatSubRaw,Meat Substitute,FoodRaw,5,5,categories,是,保留(被引用: categories)
OARatkin_FoodMeals,OARatkin meals,FoodMeals,8,8,,,"可剪(仅成员列表, 无引用)"
OtherEdible,other edible,Foods,0,0,,是,保留(代码/DefOf 硬依赖)
PlantFoodRaw,vegetarian,FoodRaw,8,35,categories;categoryDef;disallowedCategories,是,"保留(被引用: categories,categoryDef,disallowedCategories)"
Preserves,Preserves,Foods,9,9,,是,保留(代码/DefOf 硬依赖)
Spoilage,Spoilage,Foods,2,2,,,"可剪(仅成员列表, 无引用)"
SweetMeals,Sweets,Foods,9,9,categories;categoryDef,,"保留(被引用: categories,categoryDef)"
Crops,crops,Plants,0,0,,是,保留(代码/DefOf 硬依赖)
Plants,plants,Root,152,152,disallowedCategories,是,保留(被引用: disallowedCategories)
Stumps,stumps,Plants,0,0,,是,保留(代码/DefOf 硬依赖)
Trees,trees,Plants,0,0,,是,保留(代码/DefOf 硬依赖)
Drugs,drugs,MedicineStuff,33,33,categories;categoryDef,是,"保留(被引用: categories,categoryDef)"
MedicalDrugs,Medical Drugs,MedicineStuff,12,12,,,"可剪(仅成员列表, 无引用)"
MedicalMaterials,Materials,MedicineStuff,1,1,,,"可剪(仅成员列表, 无引用)"
Medicine,medicine,MedicineStuff,1,1,categories;categoryDef,是,"保留(被引用: categories,categoryDef)"
MedicineStuff,Medical,Manufactured,0,46,categories,,保留(被引用: categories)
Serums,Serums,MedicineStuff,0,0,,,可剪(0 成员 0 引用)
