弹药类型,弹药 defName,中文名,弹药规格/口径,弹药等级/类别,弹种(ammoClass),适用武器 defName,武器中文名,武器类型,来源 mod,定义文件,制作配方,备注
自定义弹药,AmmoSet_LightbulletA,鼠族光储能弹,光储能弹(6x24mmCharged 相似),Spacer/太空,穿甲(ArmorPiercing),FBZX,无尽之息,能量步枪(Spacer),鼠族HSK拓展,Defs/CE/Ammo/Rifle/LightbulletA.xml,MakeAmmoSet_LightbulletA:500发=钛18+钢10+工业零件9(工作台=高级武器台),无尽科技武器系列;弹丸 Bullet_LightbulletA: 伤害25 锐穿80 钝穿140 速度200;贴图 Things/Ammo/LightbulletA
自定义弹药,AmmoSet_LightbulletB,光储能压缩机炮弹,光储能机炮弹(6x24mmCharged 相似),Spacer/太空,穿甲(ArmorPiercing),huimie,黄昏毁灭者,手持机炮(Spacer),鼠族HSK拓展,Defs/CE/Ammo/Rifle/LightbulletB.xml,MakeAmmoSet_LightbulletB:500发=钛25+化工燃料40(工作台=高级武器台),黄昏武器战略;弹丸 Bullet_LightbulletB: 爆炸(Bomb) 伤害15 锐穿60 钝穿100 速度70;贴图复用 LightbulletA
自定义弹药,RK_Ammo_WyvernFire,铳枪飞龙弹,飞龙弹(铳枪专用),高科技(Spacer级),高爆弹(Shell),RK_Weapon_Gunlance,鼠族铳枪,龙击炮(近战+炮击),RatkinRaceHSK,1.6/Defs/ThingsDefs/Weapon_HighTech.xml,recipeMaker: 钢25+化工燃料30;研究=鼠族甲B1+冶金+龙焰;工作台=机械加工台,铳枪 CompEquippableAbilityReloadable 弹药(6发/装填);爆炸半径2.9 炸弹伤害;thingCategories 由本mod补丁75改挂 Ammo(CE分类)
自定义弹药,Bullet_GouSuo_A,鱼叉钩,钩索投射物(无弹种),探索工具,不消耗弹药(工具弹),OA_RK_GouSuo,金鸢尾兰远行者钩索枪,钩索发射器,金鼠族 HSK版本,Mods/CombatExtended/1.6/Defs/CE_AmmoDefs/GouSuo.xml,无制作配方(无限弹药),CE 钩索投射物: 伤害7 锐穿7 钝穿16.8 速度93;原版弹 OA_RK_GouSuo_A(Stab 伤害12 速度45);非 AmmoUser 不占弹匣
复用CE弹药,AmmoSet_303British,.303英式步枪弹,7.7×56mmR,工业/步枪,FMJ(全金属被甲),RK_EU_Edelweib,"雪绒花"连发步枪,二战步枪(直拉枪机),鼠族HSK拓展,Patches/80_RAE新增服饰HSK适配.xml,CE 原版弹药配方,二战德系区;弹丸 Bullet_303British_FMJ
自创弹种(复用CE贴图),AmmoSet_792x57mmMauser,7.92×57mm毛瑟步枪弹,7.92×57mm,工业/步枪,FMJ,RK_KB_Fichte,"云杉"栓动步枪,二战步枪(栓动),鼠族HSK拓展,Patches/80_RAE新增服饰HSK适配.xml,本mod自创配方 Defs/AmmoDefs/Ammo_792x57mmMauser.xml,二战德系标准弹
复用CE弹药,AmmoSet_9x19mmPara,9×19mm帕拉贝鲁姆,9×19mm,工业/手枪,FMJ,RK_KB_SommerEiche,"夏栎"冲锋枪,二战冲锋枪,鼠族HSK拓展,Patches/80_RAE新增服饰HSK适配.xml,CE 原版弹药配方,二战德系区
复用CE弹药,AmmoSet_9x19mmPara,9×19mm帕拉贝鲁姆,9×19mm,工业/手枪,FMJ,RK_KB_Rotkiefer,"赤松"手枪,二战手枪,鼠族HSK拓展,Patches/80_RAE新增服饰HSK适配.xml,CE 原版弹药配方,二战德系区
复用CE弹药,AmmoSet_12Gauge,12号霰弹,12 Gauge,工业/霰弹枪,Buck(鹿弹),RK_MR_Eschscholzia,"花菱草"战壕枪,二战战壕枪,鼠族HSK拓展,Patches/80_RAE新增服饰HSK适配.xml,CE 原版弹药配方,二战英系区
复用CE弹药,AmmoSet_303British,.303英式步枪弹,7.7×56mmR,工业/步枪,FMJ,RK_WR_Camellia,"山茶"轻机枪,二战轻机枪,鼠族HSK拓展,Patches/80_RAE新增服饰HSK适配.xml,CE 原版弹药配方,二战美系区
复用CE弹药,AmmoSet_303British,.303英式步枪弹,7.7×56mmR,工业/步枪,FMJ,RK_WR_Senecio,"千里光"狙击步枪,二战狙击步枪,鼠族HSK拓展,Patches/80_RAE新增服饰HSK适配.xml,CE 原版弹药配方,二战美系区
复用CE弹药,AmmoSet_50BMG,12.7×99mm(.50 BMG),12.7×99mm,工业/重机枪,FMJ,RK_WR_Rush,"灯心草"后装速射炮,二战速射炮(反器材),鼠族HSK拓展,Patches/80_RAE新增服饰HSK适配.xml,CE 原版弹药配方,二战美系区
复用CE弹药,AmmoSet_303British,.303英式步枪弹,7.7×56mmR,工业/步枪,FMJ,RK_YE_YukiSakura,"雪樱"栓动步枪,二战步枪(栓动),鼠族HSK拓展,Patches/80_RAE新增服饰HSK适配.xml,CE 原版弹药配方,二战日系区
复用CE弹药,AmmoSet_40x46mmGrenade,40×46mm榴弹,40×46mm,工业/榴弹,HE(高爆),RK_EU_Zundkraut,"火绒草"手榴弹,二战枪榴弹,鼠族HSK拓展,Patches/80_RAE新增服饰HSK适配.xml,CE 原版弹药配方,二战德系区
