defName,中文名,英文标题,简称,阶段,来源,强制/倾向特质,禁用特质,技能加成,关联经历
UnknownAdulthood,未知,unknown,unknown,,原版Anomaly,,,,
UnknownChildhood,未知,unknown,unknown,,原版Anomaly,,,,
CynapseCustomAdulthood,hermit,hermit,hermit,,原版Core,,,Animals3,
CynapseCustomChildhood,tinkerer,tinkerer,tinkerer,,原版Core,,,Intellectual2、Crafting2,
FeyCustomAdulthood,game master,game master,game master,,原版Core,,,Artistic2、Social1、Intellectual1、Mining-2,
FeyCustomChildhood,wargame fanatic,wargame fanatic,wargame fanatic,,原版Core,,,Crafting2、Social1,
JoeCustomAdulthood,game developer,game developer,game dev,,原版Core,,,Artistic-2,
JoeCustomChildhood,drummer,drummer,drummer,,原版Core,,,Artistic2,
LiamCustomAdulthood,simulation developer,simulation developer,sim dev,,原版Core,,,Construction-3、Crafting4、Intellectual6,
LiamCustomChildhood,sim addict,sim addict,sim addict,,原版Core,,,Intellectual2,
MateCustomAdulthood,busker,busker,busker,,原版Core,,,Cooking2,
MateCustomChildhood,curious kid,curious kid,curious kid,,原版Core,,,Intellectual1、Artistic1,
NathanCustomAdulthood,digger,digger,digger,,原版Core,,,Mining6、Construction2,
NathanCustomChildhood,cave child,cave child,cave child,,原版Core,,,Mining3、Construction3,
TynanCustomAdulthood,game developer,game developer,game dev,,原版Core,,,Construction-2、Mining-2,
TynanCustomChildhood,punk,punk,punk,,原版Core,,,Intellectual-2、Social-2,
WillCustomAdulthood,labyrinth maker,labyrinth maker,labyrinth maker,,原版Core,,,Construction2,
WillCustomChildhood,maze child,maze child,maze child,,原版Core,,,Intellectual1、Mining1,
AIProgrammer22,AI programmer,AI programmer,programmer,成年,原版Core,,,Intellectual7、Crafting6,
AIResearcher94,AI researcher,AI researcher,researcher,成年,原版Core,,,Intellectual6、Mining-2、Melee-2、Social4、Crafting1,
AWOLSoldier49,AWOL soldier,AWOL soldier,soldier,成年,原版Core,,,Shooting6、Melee5,
AceFighterPilot54,ace fighter pilot,ace fighter pilot,ace,成年,原版Core,,,Intellectual2、Mining-3、Shooting3、Melee2、Social3、Medicine3,
AcolyteOfStars6,acolyte of stars,acolyte of stars,priest,成年,原版Core,,,Intellectual-3、Social-3、Medicine4、Artistic7,
Actor72,actor,actor,actor,成年,原版Core,,,Social8、Crafting3,
AddictionCounsel60,counselor,counselor,counselor,成年,原版Core,,,Social8、Medicine3、Artistic3、Crafting3,
Adventurer19,adventurer,adventurer,adventurer,成年,原版Core,,,Shooting3、Melee3、Social3、Medicine3、Crafting3、Animals2,
AdventurousWeirdo55,adventurous weirdo,adventurous weirdo,weirdo,成年,原版Core,,,Shooting-2、Melee6、Cooking2、Artistic2、Crafting2,
AerospaceEngineer44,aerospace engineer,aerospace engineer,engineer,成年,原版Core,,,Construction2、Intellectual4、Mining2、Shooting2、Social2,
AlcoholicTrucker93,alcoholic trucker,alcoholic trucker,alcoholic,成年,原版Core,,,Mining4、Shooting2、Melee2,
AnarchistRebel77,anarchist rebel,anarchist rebel,anarchist,成年,原版Core,,,Shooting6、Melee2、Social6,
AnimalFarmer21,animal farmer,animal farmer,animal farmer,成年,原版Core,,,Animals5、Shooting3,
Archaeologist85,archaeologist,archaeologist,explorer,成年,原版Core,,,Construction4、Intellectual5、Shooting2、Social-2、Crafting2,
Archer25,archer,archer,archer,成年,原版Core,,,Melee2、Shooting7,
Architect28,architect,architect,architect,成年,原版Core,,,Construction5、Artistic7、Crafting-3,
